"lag1","lat","lon","Acronym","Known_Tipping_system"
0.5579,89.21503,-120,"ARO","Artic Sea Ice"
0.5559,89.21503,0,"ARO","Artic Sea Ice"
0.5751,89.21503,120,"ARO","Artic Sea Ice"
0.5761,87.64494,-160,"ARO","Artic Sea Ice"
0.5522,87.64494,-120,"ARO","Artic Sea Ice"
0.5418,87.64494,-80,"ARO","Artic Sea Ice"
0.5343,87.64494,-40,"ARO","Artic Sea Ice"
0.5421,87.64494,0,"ARO","Artic Sea Ice"
0.5661,87.64494,40,"ARO","Artic Sea Ice"
0.5905,87.64494,80,"ARO","Artic Sea Ice"
0.5951,87.64494,120,"ARO","Artic Sea Ice"
0.5836,87.64494,160,"ARO","Artic Sea Ice"
0.5892,86.03115,-168.75,"ARO","Artic Sea Ice"
0.5796,86.03115,-146.25,"ARO","Artic Sea Ice"
0.5615,86.03115,-123.75,"ARO","Artic Sea Ice"
0.5486,86.03115,-101.25,"ARO","Artic Sea Ice"
0.5427,86.03115,-78.75,"ARO","Artic Sea Ice"
0.5354,86.03115,-56.25,"ARO","Artic Sea Ice"
0.5206,86.03115,-33.75,"ARO","Artic Sea Ice"
0.5239,86.03115,-11.25,"ARO","Artic Sea Ice"
0.5368,86.03115,11.25,"ARO","Artic Sea Ice"
0.5604,86.03115,33.75,"ARO","Artic Sea Ice"
0.5863,86.03115,56.25,"ARO","Artic Sea Ice"
0.6032,86.03115,78.75,"ARO","Artic Sea Ice"
0.6075,86.03115,101.25,"ARO","Artic Sea Ice"
0.6076,86.03115,123.75,"ARO","Artic Sea Ice"
0.6059,86.03115,146.25,"ARO","Artic Sea Ice"
0.5997,86.03115,168.75,"ARO","Artic Sea Ice"
0.6083,84.39503,-171.81818,"ARO","Artic Sea Ice"
0.5942,84.39503,-155.45454,"ARO","Artic Sea Ice"
0.586,84.39503,-139.09091,"ARO","Artic Sea Ice"
0.5743,84.39503,-122.72727,"ARO","Artic Sea Ice"
0.559,84.39503,-106.36364,"ARO","Artic Sea Ice"
0.5567,84.39503,-90,"ARO","Artic Sea Ice"
0.5559,84.39503,-73.63636,"GIC","Greenland Ice Sheet"
0.5471,84.39503,-57.27273,"GIC","Greenland Ice Sheet"
0.5233,84.39503,-40.90909,"GIC","Greenland Ice Sheet"
0.5014,84.39503,-24.54545,"GIC","Greenland Ice Sheet"
0.5117,84.39503,-8.18182,"ARO","Artic Sea Ice"
0.5163,84.39503,8.18182,"ARO","Artic Sea Ice"
0.5356,84.39503,24.54545,"ARO","Artic Sea Ice"
0.5604,84.39503,40.90909,"ARO","Artic Sea Ice"
0.5899,84.39503,57.27273,"ARO","Artic Sea Ice"
0.6079,84.39503,73.63636,"ARO","Artic Sea Ice"
0.6144,84.39503,90,"ARO","Artic Sea Ice"
0.6138,84.39503,106.36364,"ARO","Artic Sea Ice"
0.6148,84.39503,122.72727,"ARO","Artic Sea Ice"
0.6181,84.39503,139.09091,"ARO","Artic Sea Ice"
0.6209,84.39503,155.45454,"ARO","Artic Sea Ice"
0.6185,84.39503,171.81818,"ARO","Artic Sea Ice"
0.6168,82.78807,-173.57143,"ARO","Artic Sea Ice"
0.6171,82.78807,-160.71428,"ARO","Artic Sea Ice"
0.6039,82.78807,-147.85715,"ARO","Artic Sea Ice"
0.5959,82.78807,-135,"ARO","Artic Sea Ice"
0.5866,82.78807,-122.14286,"ARO","Artic Sea Ice"
0.5703,82.78807,-109.28571,"ARO","Artic Sea Ice"
0.5688,82.78807,-96.42857,"ARO","Artic Sea Ice"
0.3607,82.78807,-83.57143,"NEN",NA
0.1634,82.78807,-70.71429,"GIC","Greenland Ice Sheet"
0.5652,82.78807,-57.85714,"GIC","Greenland Ice Sheet"
0.1428,82.78807,-45,"GIC","Greenland Ice Sheet"
0.1293,82.78807,-32.14286,"GIC","Greenland Ice Sheet"
0.4774,82.78807,-19.28572,"GIC","Greenland Ice Sheet"
0.5143,82.78807,-6.42857,"ARO","Artic Sea Ice"
0.5036,82.78807,6.42857,"ARO","Artic Sea Ice"
0.4959,82.78807,19.28572,"ARO","Artic Sea Ice"
0.5246,82.78807,32.14286,"ARO","Artic Sea Ice"
0.5585,82.78807,45,"ARO","Artic Sea Ice"
0.5868,82.78807,57.85714,"ARO","Artic Sea Ice"
0.6078,82.78807,70.71429,"ARO","Artic Sea Ice"
0.616,82.78807,83.57143,"ARO","Artic Sea Ice"
0.6142,82.78807,96.42857,"ARO","Artic Sea Ice"
0.6102,82.78807,109.28571,"ARO","Artic Sea Ice"
0.6103,82.78807,122.14286,"ARO","Artic Sea Ice"
0.6169,82.78807,135,"ARO","Artic Sea Ice"
0.6268,82.78807,147.85715,"ARO","Artic Sea Ice"
0.626,82.78807,160.71428,"ARO","Artic Sea Ice"
0.6253,82.78807,173.57143,"ARO","Artic Sea Ice"
0.6526,81.19255,-174.70589,"ARO","Artic Sea Ice"
0.6465,81.19255,-164.11765,"ARO","Artic Sea Ice"
0.6347,81.19255,-153.52942,"ARO","Artic Sea Ice"
0.623,81.19255,-142.94118,"ARO","Artic Sea Ice"
0.612,81.19255,-132.35294,"ARO","Artic Sea Ice"
0.5981,81.19255,-121.76471,"ARO","Artic Sea Ice"
0.5853,81.19255,-111.17647,"ARO","Artic Sea Ice"
0.5782,81.19255,-100.58823,"NEN",NA
0.2124,81.19255,-90,"NEN",NA
0.1862,81.19255,-79.41177,"NEN",NA
0.1952,81.19255,-68.82353,"GIC","Greenland Ice Sheet"
0.1981,81.19255,-58.23529,"GIC","Greenland Ice Sheet"
0.1812,81.19255,-47.64706,"GIC","Greenland Ice Sheet"
